,State,Produce,Image_link
0,ALABAMA, Peanuts,https://i.insider.com/5c5b5e99eb3ce84c0f72abc3
1,ALASKA, Potatoes,https://i.insider.com/5bb78a1b011455071c0b3eec
2,ARIZONA, Lettuce,https://i.insider.com/5a58f55b55ac5635008b4579
3,ARKANSAS, Rice,https://i.insider.com/5c5c4e24eb3ce8306b545ed8
4,CALIFORNIA, Grapes,https://i.insider.com/5aba6f5c32167424008b45b7
5,COLORADO, Sugar beet,https://i.insider.com/5c5c6828eb3ce84096503a93
6,CONNECTICUT, Apples,https://i.insider.com/5c5b6371eb3ce817082d3713
7,DELAWARE, Watermelon,https://i.insider.com/594bd0f2298d4a22008b45b6
8,FLORIDA, Oranges,https://i.insider.com/56b10610dd0895bc798b46eb
9,GEORGIA, Blueberries,https://i.insider.com/55d36369371d22472c8be8f5
10,HAWAII, Macadamia nuts,https://i.insider.com/5c5c7313eb3ce84286044ca3
11,IDAHO, Potatoes,https://i.insider.com/5bb788bd01145533656c2c95
12,ILLINOIS, Pumpkins,https://i.insider.com/5c5c7721eb3ce802602fe205
13,INDIANA, Tomatoes,https://i.insider.com/5b71d7abbda1c729008b45af
14,IOWA, Soybeans,https://i.insider.com/5ba28e869c888df6038b4568
15,KANSAS, Wheat,https://i.insider.com/5c5c5ca8eb3ce86aa00c2c74
16,KENTUCKY, Corn,https://i.insider.com/5c5c9092eb3ce8076751f705
17,LOUISIANA, Sweet potatoes,https://i.insider.com/5c005a298c39b60e7324b2d2
18,MAINE, Potatoes,https://i.insider.com/5c5c92f9eb3ce80fce619f34
19,MARYLAND, Spinach,https://i.insider.com/5acbc606facba849008b45c0
20,MASSACHUSETTS, Cranberries,https://i.insider.com/5c5c9630eb3ce849f977e552
21,MICHIGAN, Cherries,https://i.insider.com/5c5c980beb3ce84a622cfa54
22,MINNESOTA, Beans,https://i.insider.com/5b325f1a5e48ec1c008b4570
23,MISSISSIPPI, Rice,https://i.insider.com/5c632101eb3ce8208c21fc64
24,MISSOURI, Soybeans,https://i.insider.com/5c5c9af5eb3ce84b5777ef53
25,MONTANA, Lentils,https://i.insider.com/5c5c9c6beb3ce812b73b2353
26,NEBRASKA, Corn,https://i.insider.com/5ba2720b9c888d19078b456b
27,NEVADA, Barley,https://i.insider.com/5b52235a51dfbe2d008b45c4
28,NEW HAMPSHIRE, Apples,https://i.insider.com/5c5c9f17eb3ce8134367a4e8
29,NEW JERSEY, Tomatoes,https://i.insider.com/5c5c9ff8eb3ce84ca62ec034
30,NEW MEXICO, Chile peppers,https://i.insider.com/58c6f8170beac522008b4a4b
31,NEW YORK, Cabbage,https://i.insider.com/598a170eb9cd6c2f008b490b
32,NORTH CAROLINA, Sweet potato,https://i.insider.com/5c5ca317eb3ce84d94779bf3
33,NORTH DAKOTA, Dry beans,https://i.insider.com/594adee216160f1b008b456e
34,OHIO, Tomatoes,https://i.insider.com/5ad0e2d5facba81e008b45af
35,OKLAHOMA, Peanuts,https://i.insider.com/527b91b86bb3f77155df1749
36,OREGON, Hazelnuts,https://i.insider.com/5a78d5aa5c96b033008b4623
37,PENNSYLVANIA, Peaches,https://i.insider.com/5c5ca710eb3ce815e519c154
38,RHODE ISLAND, Corn,https://i.insider.com/5b48b96820e3a826008b4621
39,SOUTH CAROLINA, Melons,https://i.insider.com/5c06de695930f85fbd2bce42
40,SOUTH DAKOTA, Flaxseed,https://i.insider.com/5a99ca0d283ef757008b45b9
41,TENNESSEE, Tomatoes,https://i.insider.com/5c5cac7aeb3ce80ecc0fe9d7
42,TEXAS, Rice,https://i.insider.com/5c5cade5eb3ce801d74fe223
43,UTAH, Tart cherries,https://i.insider.com/5666033cc2814424008b8251
44,VERMONT, Maple syrup,https://i.insider.com/5a7e1a97daa01798018b466e
45,VIRGINIA, Apples,https://i.insider.com/5ad6601858702a30518b4580
46,WASHINGTON, Strawberries (and many others),https://i.insider.com/5c5cb15deb3ce810346c7964
47,WEST VIRGINIA, Peaches,https://i.insider.com/5c5ca710eb3ce815e519c154
48,WISCONSIN, Peas,https://i.insider.com/5c5cb2f9eb3ce802d6635bc5
49,WYOMING, Corn,https://i.insider.com/5ace3cedfacba81f008b462a
